voltage,time,height
3.5,60.757,0.0396
3.5,61.776,0.0398
3.5,62.791,0.0396
3.5,63.808,0.0396
3.5,64.824,0.0398
3.5,65.843,0.044
3.5,66.861,0.044
3.5,67.863,0.0449
3.5,68.865,0.0457
3.5,69.888,0.0379
3.5,70.906,0.043
3.5,71.926,0.0398
3.5,72.947,0.0396
3.5,73.958,0.0449
3.5,74.975,0.0449
3.5,76.99,0.0362
3.5,78.004,0.0398
3.5,79.018,0.0398
3.5,80.025,0.0398
3.5,81.066,0.0396
3.5,82.08,0.0396
3.5,83.088,0.0398
3.5,84.092,0.0396
3.5,85.094,0.0396
3.5,86.098,0.0398
3.5,87.1,0.0396
3.5,88.101,0.0398
3.5,89.103,0.0483
3.5,90.12,0.0483
3.5,91.134,0.044
3.5,92.147,0.044
3.5,93.149,0.044
3.5,94.152,0.044
3.5,95.154,0.0398
3.5,97.164,0.0396
3.5,98.17,0.0398
3.5,99.183,0.0396
3.5,100.19,0.0396
3.5,101.21,0.0396
3.5,102.22,0.0396
3.5,103.23,0.0396
3.5,104.25,0.0398
3.5,105.26,0.0396
3.5,106.28,0.0396
3.5,107.3,0.0398
3.5,108.32,0.0398
3.5,109.32,0.0396
3.5,110.34,0.0388
3.5,111.36,0.0396
3.5,112.38,0.0388
3.5,113.39,0.0388
3.5,114.41,0.0388
3.5,116.43,0.0388
3.5,117.45,0.0396
3.5,118.48,0.0396
3.5,119.5,0.0396
3.5,120.52,0.0398
3.5,121.54,0.0396
3.5,122.55,0.0388
3.5,123.57,0.0388
3.5,124.58,0.0398
3.5,125.6,0.0396
3.5,126.63,0.0398
3.5,127.65,0.0388
3.5,128.67,0.0389
3.5,129.69,0.0388
3.5,130.7,0.0388
3.5,131.71,0.0388
3.5,132.73,0.0388
3.5,133.75,0.0389
3.5,134.77,0.0389
3.5,136.79,0.0388
3.5,137.79,0.0388
3.5,138.81,0.0388
3.5,139.83,0.0388
3.5,140.85,0.0388
3.5,141.87,0.0389
3.5,142.87,0.0398
3.5,143.89,0.0388
3.5,144.91,0.0396
3.5,145.92,0.0388
3.5,146.92,0.0396
3.5,147.94,0.0388
3.5,148.95,0.0388
3.5,149.95,0.0388
3.5,150.97,0.0388
3.5,151.99,0.0388
3.5,153.01,0.0388
3.5,154.02,0.0388
3.5,155.04,0.0388
3.5,157.05,0.0388
3.5,158.06,0.0388
3.5,159.08,0.0388
3.5,160.1,0.0388
3.5,161.12,0.0388
3.5,162.13,0.0388
3.5,163.13,0.0389
3.5,164.14,0.0388
3.5,165.14,0.0388
3.5,166.15,0.0388
3.5,167.16,0.0389
3.5,168.16,0.0388
3.5,169.16,0.0388
3.5,170.16,0.0388
3.5,171.16,0.0388
3.5,172.17,0.0388
3.5,173.17,0.0388
3.5,174.17,0.0388
3.5,175.17,0.0388
3.5,177.18,0.0388
3.5,178.19,0.0388
3.5,179.19,0.0388
3.5,180.2,0.0388
3.5,181.2,0.0388
3.5,182.21,0.0389
3.5,183.21,0.0388
3.5,184.21,0.0388
3.5,185.22,0.0388
3.5,186.22,0.0388
3.5,187.22,0.0388
3.5,188.22,0.0388
3.5,189.22,0.0388
3.5,190.22,0.0388
3.5,191.23,0.0388
3.5,192.23,0.0388
3.5,193.23,0.0388
3.5,194.23,0.0388
7.5,195.24,0.0388
7.5,197.25,0.0388
7.5,198.26,0.0398
7.5,199.27,0.0398
7.5,200.28,0.0396
7.5,201.29,0.044
7.5,202.31,0.044
7.5,203.33,0.044
7.5,204.35,0.044
7.5,205.37,0.044
7.5,206.39,0.044
7.5,207.41,0.044
7.5,208.43,0.0449
7.5,209.44,0.0457
7.5,210.46,0.0457
7.5,211.48,0.0466
7.5,212.5,0.0474
7.5,213.52,0.0483
7.5,214.53,0.0534
7.5,215.56,0.0544
7.5,217.57,0.0508
7.5,218.59,0.0551
7.5,219.61,0.0508
7.5,220.62,0.0508
7.5,221.64,0.0508
7.5,222.66,0.0508
7.5,223.67,0.0468
7.5,224.68,0.0468
7.5,225.69,0.0466
7.5,226.71,0.0468
7.5,227.73,0.0517
7.5,228.74,0.0483
7.5,229.76,0.0525
7.5,230.76,0.0576
7.5,231.78,0.0587
7.5,232.8,0.0551
7.5,233.81,0.0551
7.5,234.83,0.0604
7.5,235.84,0.0568
7.5,237.86,0.0534
7.5,238.88,0.0621
7.5,239.89,0.0621
7.5,240.91,0.0621
7.5,241.94,0.0621
7.5,242.95,0.0621
7.5,243.97,0.0621
7.5,244.99,0.0621
7.5,246.01,0.0621
7.5,247.03,0.0621
7.5,248.05,0.0621
7.5,249.06,0.0629
7.5,250.08,0.0551
7.5,251.1,0.0593
7.5,252.11,0.0646
7.5,253.13,0.0568
7.5,254.14,0.0655
7.5,255.17,0.0663
7.5,256.19,0.0587
7.5,258.19,0.0672
7.5,259.19,0.0629
7.5,260.2,0.0595
7.5,261.2,0.0593
7.5,262.21,0.0593
7.5,263.21,0.0638
7.5,264.21,0.0638
7.5,265.22,0.0638
7.5,266.22,0.0638
7.5,267.22,0.0638
7.5,268.24,0.068
7.5,269.24,0.0646
7.5,270.25,0.0689
7.5,271.26,0.0655
7.5,272.26,0.0697
7.5,273.26,0.0663
7.5,274.26,0.0663
7.5,275.26,0.0714
7.5,277.27,0.0672
7.5,278.29,0.068
7.5,279.29,0.068
7.5,280.3,0.0724
7.5,281.31,0.0724
7.5,282.33,0.0724
7.5,283.34,0.0723
7.5,284.36,0.0724
7.5,285.37,0.0724
7.5,286.39,0.0723
7.5,287.4,0.0723
7.5,288.42,0.068
7.5,289.43,0.0731
7.5,290.45,0.0689
7.5,291.46,0.0741
7.5,292.47,0.0663
7.5,293.5,0.075
7.5,294.52,0.0706
7.5,295.54,0.0758
7.5,297.56,0.0716
7.5,298.57,0.0724
7.5,299.59,0.0724
7.5,300.6,0.0767
7.5,301.62,0.0767
7.5,302.64,0.0767
7.5,303.65,0.0767
7.5,304.67,0.0767
7.5,305.67,0.0767
7.5,306.69,0.0767
7.5,307.7,0.0767
7.5,308.72,0.0724
7.5,309.74,0.0775
7.5,310.76,0.0731
7.5,311.78,0.0784
7.5,312.8,0.0784
7.5,313.82,0.0792
7.5,314.84,0.0792
7.5,315.87,0.0758
7.5,317.89,0.0801
7.5,318.9,0.0758
7.5,319.91,0.0758
7.5,320.94,0.0758
7.5,321.94,0.0758
7.5,322.96,0.0758
7.5,323.98,0.0758
7.5,324.99,0.0758
7.5,326.01,0.0767
7.5,327.03,0.0767
7.5,328.05,0.0767
7.5,329.05,0.0809
7.5,330.07,0.0767
7.5,331.08,0.0818
7.5,332.1,0.0775
7.5,333.12,0.0784
7.5,334.14,0.0826
7.5,335.15,0.0792
7.5,336.16,0.0835
7.5,338.21,0.0792
7.5,339.21,0.0801
7.5,340.21,0.0801
7.5,341.22,0.0801
7.5,342.23,0.0801
7.5,343.23,0.0801
7.5,344.24,0.0801
7.5,345.24,0.0801
7.5,346.24,0.0801
7.5,347.24,0.0801
7.5,348.24,0.0801
7.5,349.24,0.0801
7.5,350.25,0.0809
7.5,351.25,0.0809
7.5,352.25,0.0809
7.5,353.28,0.0818
7.5,354.29,0.0835
7.5,355.3,0.0818
7.5,356.3,0.0869
7.5,358.3,0.0869
7.5,359.31,0.0826
7.5,360.31,0.0826
7.5,361.31,0.0826
7.5,362.31,0.0826
7.5,363.31,0.0826
7.5,364.32,0.0826
7.5,365.33,0.0826
7.5,366.34,0.0826
7.5,367.35,0.0826
7.5,368.37,0.0835
7.5,369.38,0.0879
7.5,370.39,0.0835
7.5,371.41,0.0886
7.5,372.42,0.0887
7.5,373.44,0.0809
7.5,374.46,0.0896
7.5,375.47,0.0896
7.5,377.49,0.0835
7.5,378.5,0.0818
7.5,379.52,0.0835
7.5,380.54,0.0818
7.5,381.55,0.0903
7.5,382.57,0.0904
7.5,383.59,0.0904
7.5,384.6,0.0903
7.5,385.61,0.0904
7.5,386.64,0.0903
7.5,387.66,0.0904
7.5,388.67,0.0904
7.5,389.69,0.0869
7.5,390.7,0.0913
7.5,391.72,0.0956
7.5,392.73,0.087
7.5,393.75,0.0921
7.5,394.77,0.0921
7.5,395.77,0.0879
7.5,397.79,0.093
7.5,398.79,0.093
7.5,399.81,0.093
7.5,400.83,0.093
7.5,401.85,0.093
7.5,402.87,0.093
7.5,403.89,0.093
7.5,404.91,0.093
7.5,405.92,0.093
7.5,406.94,0.093
7.5,407.96,0.093
7.5,408.99,0.0886
7.5,410,0.0894
7.5,411.02,0.0939
7.5,412.04,0.0939
7.5,413.06,0.0903
7.5,414.08,0.0947
7.5,415.1,0.0989
7.5,416.1,0.0911
7.5,418.13,0.0956
7.5,419.13,0.0956
7.5,420.15,0.0956
7.5,421.17,0.0956
7.5,422.18,0.0956
7.5,423.19,0.0956
7.5,424.23,0.0956
7.5,425.25,0.0956
7.5,426.25,0.0956
7.5,427.25,0.0998
7.5,428.26,0.0998
7.5,429.26,0.0956
7.5,430.27,0.0964
7.5,431.27,0.0964
7.5,432.27,0.1006
7.5,433.27,0.093
