Time,Height (m),Voltage (V)
1736238112.3864048,0.025,0.0
1736238113.430216,0.025,0.0
1736238114.4326565,0.025,0.0
1736238115.4400325,0.025,0.0
1736238116.4440553,0.025,0.0
1736238117.4480612,0.025,0.0
1736238118.4540622,0.025,0.0
1736238119.4579196,0.025,0.0
1736238120.4837568,0.025,0.0
1736238121.485353,0.025,0.0
1736238122.4939537,0.025,0.0
1736238123.4944654,0.025,0.0
1736238124.497666,0.025,0.0
1736238125.5279539,0.025,0.0
1736238126.5629742,0.025,0.0
1736238127.5752199,0.025,0.0
1736238128.5765493,0.025,0.0
1736238129.5767653,0.025,0.0
1736238130.5774598,0.025,0.0
1736238131.5822194,0.025,0.0
1736238132.5835826,0.025,0.0
1736238133.5838702,0.025,0.0
1736238134.5860114,0.025,0.0
1736238135.5865839,0.025,0.0
1736238136.5888298,0.025,0.0
1736240681.0930266,0.025,0.0
1736240682.0936763,0.025,0.0
1736240683.0946565,0.025,0.0
1736240684.0950294,0.025,0.0
1736240685.0956905,0.025,0.0
1736240686.0964928,0.025,0.0
1736240855.3486044,0.025,0.0
1736240856.349138,0.025,0.0
1736240857.3498225,0.025,0.0
1736240858.350358,0.025,0.0
1736240859.3509107,0.025,0.0
1736240860.3513145,0.025,0.0
1736240861.3520448,0.025,0.0
1736240902.0859356,0.025,0.0
1736240903.0870814,0.025,0.0
1736240904.087736,0.025,0.0
1736240905.0884736,0.025,0.0
1736240906.0891323,0.025,0.0
1736240907.0896444,0.025,0.0
1736240908.0903018,0.025,0.0
1736240909.0911648,0.025,0.0
1736240910.0920222,0.025,0.0
1736240911.0932288,0.025,0.0
1736240912.0936713,0.025,0.0
1736240913.0939233,0.025,0.0
1736240914.0944812,0.025,0.0
1736240915.095065,0.025,0.0
1736240916.0955284,0.025,0.0
1736240917.096554,0.025,0.0
1736240918.0974832,0.025,0.0
1736240919.0978928,0.025,0.0
1736240983.5645268,0.025,0.0
1736240984.565066,0.025,0.0
1736240985.565866,0.025,0.0
1736240986.6071851,0.025,0.0
1736240987.6123562,0.025,0.0
1736240988.6243184,0.025,0.0
1736240989.6281629,0.025,0.0
1736240990.635893,0.025,0.0
1736240991.6601567,0.025,0.0
1736240992.6696792,0.025,0.0
1736240993.6702745,0.025,0.0
1736240994.6717386,0.025,0.0
1736240995.6728935,0.025,0.0
1736240996.6908946,0.025,0.0
1736240997.701271,0.025,0.0
1736240998.7099822,0.025,0.0
1736240999.7215023,0.025,0.0
1736241000.7317817,0.025,0.0
1736241001.732044,0.025,0.0
1736241002.7478528,0.025,0.0
1736241003.7482965,0.025,0.0
1736245683.0179524,0.025,0.0
1736245684.018357,0.025,0.0
1736245685.0187137,0.025,0.0
1736245686.0191312,0.025,0.0
1736245687.019438,0.025,0.0
1736245688.0197093,0.025,0.0
1736245689.0202382,0.025,0.0
1736245690.0209947,0.025,0.0
1736245691.0216005,0.025,0.0
1736245692.0218546,0.025,0.0
1736245693.0225966,0.025,0.0
1736245694.023411,0.025,0.0
1736245695.023964,0.025,0.0
1736245696.0247219,0.025,0.0
1736245697.0249894,0.025,0.0
1736245698.0254023,0.025,0.0
1736245699.0262847,0.025,0.0
1736245700.0267425,0.025,0.0
1736245701.027732,0.025,0.0
1736245702.0279822,0.025,0.0
1736245703.0285363,0.025,0.0
1736245704.0291572,0.025,0.0
1736245705.0301092,0.025,0.0
1736245706.0309486,0.025,0.0
1736245707.0318666,0.025,0.0
1736245708.0328197,0.025,0.0
1736245709.0335057,0.025,0.0
1736245710.0338728,0.025,0.0
1736245711.0345113,0.025,0.0
1736245712.0351186,0.025,0.0
1736245713.0356388,0.025,0.0
1736245714.0366266,0.025,0.0
1736245715.037285,0.025,0.0
1736245716.038235,0.025,0.0
1736245717.038851,0.025,0.0
1736245718.0395963,0.025,0.0
1736245719.0402265,0.025,0.0
1736245720.0409617,0.025,0.0
1736245721.0416603,0.025,0.0
1736245722.042431,0.025,0.0
1736245723.0428739,0.025,0.0
1736245724.0436296,0.025,0.0
1736245725.04401,0.025,0.0
1736245726.0448554,0.025,0.0
1736245727.0452876,0.025,0.0
1736245728.045703,0.025,0.0
1736245729.0463953,0.025,0.0
1736245730.0470717,0.025,0.0
1736245731.047778,0.025,0.0
1736245732.0481935,0.025,0.0
1736245733.0491796,0.025,0.0
1736245734.0493586,0.025,0.0
1736245735.0496373,0.025,0.0
1736245736.0502222,0.025,0.0
1736245737.0511577,0.025,0.0
1736245738.0520418,0.025,0.0
1736245739.0527089,0.025,0.0
1736245740.0534554,0.025,0.0
1736245741.0544662,0.025,0.0
1736245742.0553718,0.025,0.0
1736245743.0561461,0.025,0.0
1736245744.0570898,0.025,0.0
1736245745.057378,0.025,0.0
1736245746.0580225,0.025,0.0
1736245747.058435,0.025,0.0
1736245748.058684,0.025,0.0
1736245749.059406,0.025,0.0
1736245750.05994,0.025,0.0
1736245751.0609481,0.025,0.0
1736245752.061578,0.025,0.0
1736245753.062538,0.025,0.0
1736245754.0628686,0.025,0.0
1736245755.0640986,0.025,0.0
1736245756.0647738,0.025,0.0
1736245757.065541,0.025,0.0
1736245758.0661974,0.025,0.0
1736245759.0673277,0.025,0.0
1736245760.0678415,0.025,0.0
1736245761.0683768,0.025,0.0
1736245762.0688946,0.025,0.0
1736245763.0693634,0.025,0.0
1736245764.069698,0.025,0.0
1736245765.070627,0.025,0.0
1736245766.07121,0.025,0.0
1736245767.0714612,0.025,0.0
1736245768.0718436,0.025,0.0
1736245769.0722759,0.025,0.0
1736245770.072401,0.025,0.0
1736245771.0730486,0.025,5.0
1736245772.0736368,0.025,5.0
1736245773.0744355,0.025,5.0
1736245774.0751624,0.025,5.0
1736245775.075417,0.025,5.0
1736245776.0763202,0.025,5.0
1736245777.0772567,0.025,5.0
1736245778.078234,0.025,5.0
1736245779.0796232,0.025,5.0
1736245780.0799515,0.025,5.0
1736245781.0807152,0.025,5.0
1736245782.0812452,0.025,5.0
1736245783.082249,0.025,5.0
1736245784.0827072,0.025,5.0
1736245785.0834417,0.025,5.0
1736245786.0841267,0.025,5.0
1736245787.0847938,0.025,5.0
1736245788.0865216,0.025,5.0
1736245789.0869937,0.025,5.0
1736245790.087655,0.025,5.0
1736245791.0883584,0.025,5.0
1736245792.0890834,0.025,5.0
1736245793.0900226,0.025,5.0
1736245794.0910952,0.025,5.0
1736245795.0919654,0.025,5.0
1736245796.092562,0.025,5.0
1736245797.0927896,0.025,5.0
1736245798.0934289,0.025,5.0
1736245799.0941014,0.025,5.0
1736245800.0951319,0.025,5.0
1736245801.095947,0.025,5.0
1736245802.0965452,0.025,5.0
