Time,Height (m),Voltage (V)
1739979222.3986123,0.0,0.0
1739979223.4463632,0.0,0.0
1739979241.6681373,0.0,0.0
1739979242.7180843,0.0,0.0
1739979243.7576718,0.0,0.0
1739979244.8170226,0.0,0.0
1739979245.8181355,0.0,0.0
1739979246.819425,0.0,0.0
1739979247.828583,0.0,0.0
1739979248.8344095,0.0,0.0
1739979249.837981,0.0,0.0
1739979250.8561473,0.0,0.0
1739979251.8850405,0.0,0.0
1739979252.9152417,0.0,0.0
1739979253.9391775,0.0,0.0
1739979255.0035007,0.0,0.0
1739979256.030165,0.0,0.0
1739979257.074077,0.0,0.0
1739979258.098144,0.0,0.0
1739979259.0992677,0.0,0.0
1739979260.1088495,0.0,0.0
1739979261.1422684,0.0,0.0
1739979262.1637945,0.0,0.0
1739979263.2144127,0.0,0.0
1739979264.2604365,0.0,0.0
1739979265.2693198,0.0,0.0
1739979266.2710543,0.0,0.0
1739979267.2946143,0.0,0.0
1739979268.303736,0.0,0.0
1739979269.3151,0.0,0.0
1739979270.31634,0.0,0.0
1739979271.3171551,0.0,0.0
1739979272.318478,0.0,0.0
1739979273.3196,0.0,0.0
1739979274.3212996,0.0,0.0
1739979275.3220835,0.0,0.0
