Time,Height (m),Voltage (V)
1739967266.2133024,0.025,0.06
1739967267.21979,0.024928673372275403,0.06
1739967268.228874,0.024857550244063706,0.06
1739967269.259201,0.02478663003476755,0.06
1739967270.2623882,0.024715912165446063,0.06
1739967271.2641976,0.024645396058810116,0.06
1739967272.2681549,0.024575081139217633,0.06
1739967273.2915149,0.02450496683266888,0.06
1739967274.3235755,0.024435052566801785,0.06
1739967275.3247566,0.02436533777088725,0.06
1739967276.3284338,0.024295821875824523,0.06
1739967277.3341668,0.024226504314136522,0.06
1739967278.3353891,0.02415738451996521,0.06
1739967279.3405015,0.024088461929066985,0.06
1739967280.3604736,0.024019735978808077,0.06
1739967281.4065142,0.02395120610815993,0.06
1739967282.4255333,0.023882871757694657,0.06
1739967283.4294274,0.02381473236958044,0.06
1739967284.433404,0.023746787387577,0.06
1739967285.4442327,0.02367903625703104,0.06
1739967286.4449806,0.02361147842487174,0.06
1739967287.4470935,0.023544113339606213,0.06
1739967288.4636621,0.02347694045131502,0.06
1739967289.4729376,0.023409959211647676,0.06
1739967290.4932551,0.023343169073818188,0.06
1739967291.5251238,0.02327656949260056,0.06
1739967292.5457609,0.023210159924324382,0.06
1739967293.5522118,0.023143939826870352,0.06
1739967294.55319,0.023077908659665882,0.06
1739967295.5546403,0.023012065883680672,0.06
1739967296.5583105,0.022946410961422303,0.06
1739967297.569559,0.022880943356931863,0.06
1739967298.5717347,0.022815662535779564,0.06
1739967299.5730999,0.022750567965060378,0.06
1739967300.5750594,0.022685659113389694,0.06
1739967301.5767403,0.02262093545089898,0.06
1739967302.5775816,0.02255639644923144,0.06
1739967303.5790617,0.022492041581537725,0.06
1739967304.6156995,0.022427870322471625,0.06
1739967305.6303277,0.022363882148185764,0.06
1739967306.6324127,0.022300076536327346,0.06
1739967307.6334157,0.022236452966033878,0.06
1739967308.6519682,0.022173010917928924,0.06
1739967309.6541336,0.022109749874117863,0.06
1739967310.6646192,0.022046669318183654,0.06
1739967311.6745274,0.021983768735182638,0.06
1739967312.6915126,0.021921047611640314,0.06
1739967313.7152853,0.021858505435547165,0.06
1739967546.0053353,0.025,0.06
1739967547.0086923,0.024928673372275403,0.06
1739967548.046568,0.024857550244063706,0.06
1739967549.072402,0.02478663003476755,0.06
1739967550.0740142,0.024715912165446063,0.06
1739967551.0822773,0.024645396058810116,0.06
1739967552.0843143,0.024575081139217633,0.06
1739967553.2759764,0.02450496683266888,0.06
1739967554.2896147,0.024435052566801785,0.06
1739967555.2914865,0.02436533777088725,0.06
1739967556.3179274,0.024295821875824523,0.06
1739967557.3300967,0.024226504314136522,0.06
1739967558.3735442,0.02415738451996521,0.06
1739967559.4061875,0.024088461929066985,0.06
1739967560.4506574,0.024019735978808077,0.06
1739967561.4757302,0.02395120610815993,0.06
1739967562.479491,0.023882871757694657,0.06
1739967563.4998631,0.02381473236958044,0.06
1739967564.5161107,0.023746787387577,0.06
1739967565.5239346,0.02367903625703104,0.06
1739967566.5478818,0.02361147842487174,0.06
1739967567.5869305,0.023544113339606213,0.06
1739967568.5897665,0.02347694045131502,0.06
1739967569.5916085,0.023409959211647676,0.06
1739967570.5945046,0.023343169073818188,0.06
1739967571.5959988,0.02327656949260056,0.06
1739967572.59777,0.023210159924324382,0.06
1739967573.5994372,0.023143939826870352,0.06
1739967574.6072373,0.023077908659665882,0.06
1739967575.612656,0.023012065883680672,0.06
1739967576.6178706,0.022946410961422303,0.06
1739967577.6194432,0.022880943356931863,0.06
1739967578.661689,0.022815662535779564,0.06
1739967579.707779,0.022750567965060378,0.06
1739967580.7096052,0.022685659113389694,0.06
1739967581.7356422,0.02262093545089898,0.06
1739967582.7508242,0.02255639644923144,0.06
1739967583.7968407,0.022492041581537725,0.06
1739967584.8307562,0.022427870322471625,0.06
1739967585.8341458,0.022363882148185764,0.06
1739967586.8418891,0.022300076536327346,0.06
1739967587.8435817,0.022236452966033878,0.06
1739967588.8528721,0.022173010917928924,0.06
1739967589.8556457,0.022109749874117863,0.06
1739967590.8594003,0.022046669318183654,0.06
1739967591.8715243,0.021983768735182638,0.06
1739967592.8801444,0.021921047611640314,0.06
1739967593.8838737,0.021858505435547165,0.06
1739967595.0235415,0.02179614169635447,0.06
1739967596.0256577,0.02173395588497013,0.06
1739967597.0275145,0.021671947493754524,0.06
1739967598.0324771,0.02161011601651636,0.06
1739967599.0435424,0.021548460948508544,0.06
1739967600.0449595,0.02148698178642405,0.06
1739967601.0470192,0.021425678028391827,0.06
1739967602.0874739,0.021364549173972697,0.06
1739967603.2865136,0.021303594724155266,0.06
1739967604.288769,0.021242814181351842,0.06
1739967605.2921054,0.0211822070493944,0.06
1739967606.3012726,0.021121772833530495,0.06
1739967607.343814,0.021061511040419267,0.06
1739967608.3454843,0.021001421178127363,0.06
1739967609.3501458,0.020941502756124972,0.06
1739967610.3531392,0.02088175528528178,0.06
1739967611.354754,0.020822178277863,0.06
1739967612.3565698,0.020762771247525385,0.06
1739967613.3582854,0.020703533709313257,0.06
1739967614.3737886,0.020644465179654542,0.06
1739967615.3914094,0.020585565176356832,0.06
1739967616.3952892,0.020526833218603453,0.06
1739967617.3969908,0.02046826882694952,0.06
1739967618.402768,0.020409871523318048,0.06
1739967619.4048991,0.020351640830996023,0.06
1739967620.419454,0.020293576274630534,0.06
1739967621.4231322,0.02023567738022488,0.06
1739967622.4257286,0.020177943675134705,0.06
1739967623.4273167,0.020120374688064133,0.06
1739967624.4293294,0.020062969949061933,0.06
1739967625.4311655,0.020005728989517673,0.06
1739967626.4375982,0.01994865134215789,0.06
1739967627.4389336,0.019891736541042294,0.06
1739967628.4444444,0.019834984121559943,0.06
1739967629.4523468,0.01977839362042547,0.06
1739967750.4637637,0.025,0.06
1739967751.48946,0.024928673372275403,0.06
1739967752.5028539,0.024857550244063706,0.06
1739967753.5661619,0.02478663003476755,0.06
1739967754.5783062,0.024715912165446063,0.06
1739967755.5862803,0.024645396058810116,0.06
1739967756.6040304,0.024575081139217633,0.06
1739967757.6236155,0.02450496683266888,0.06
1739967758.6318824,0.024435052566801785,0.06
1739967759.63906,0.02436533777088725,0.06
1739967760.6407962,0.024295821875824523,0.06
1739967761.666899,0.024226504314136522,0.06
1739967762.7014,0.02415738451996521,0.06
1739967763.706577,0.024088461929066985,0.06
1739967764.726412,0.024019735978808077,0.06
1739967765.7276576,0.02395120610815993,0.06
1739967766.7452521,0.023882871757694657,0.06
1739967767.7810135,0.02381473236958044,0.06
1739967768.7972338,0.023746787387577,0.06
1739967769.807205,0.02367903625703104,0.06
1739967770.858724,0.02361147842487174,0.06
1739967771.8632019,0.023544113339606213,0.06
1739967772.8825626,0.02347694045131502,0.06
1739967773.8939352,0.023409959211647676,0.06
1739967774.9064484,0.023343169073818188,0.06
1739967775.9230413,0.02327656949260056,0.06
1739967776.941762,0.023210159924324382,0.06
1739967777.9452603,0.023143939826870352,0.06
1739967778.9463205,0.023077908659665882,0.06
1739967779.9475865,0.023012065883680672,0.06
1739967780.9513276,0.022946410961422303,0.06
1739967781.9537635,0.022880943356931863,0.06
1739967782.9816995,0.022815662535779564,0.06
1739967784.0125034,0.022750567965060378,0.06
1739967785.020547,0.022685659113389694,0.06
1739967786.0422564,0.02262093545089898,0.06
1739967787.0526884,0.02255639644923144,0.06
1739967788.0554543,0.022492041581537725,0.06
1739967789.070188,0.022427870322471625,0.06
1739967790.1049054,0.022363882148185764,0.06
1739967791.108188,0.022300076536327346,0.06
1739967792.1430883,0.022236452966033878,0.06
1739967793.1744018,0.022173010917928924,0.06
1739967794.1917994,0.022109749874117863,0.06
1739967795.20987,0.022046669318183654,0.06
1739967796.2181678,0.021983768735182638,0.06
1739967797.2437444,0.021921047611640314,0.06
1739967798.261565,0.021858505435547165,0.06
1739967799.2871745,0.02179614169635447,0.06
1739967800.2923317,0.02173395588497013,0.06
1739967801.2936895,0.021671947493754524,0.06
1739967802.2972856,0.02161011601651636,0.06
1739967803.299004,0.021548460948508544,0.06
1739967804.3081243,0.02148698178642405,0.06
1739967805.3384397,0.021425678028391827,0.06
1739967806.3625863,0.021364549173972697,0.06
1739967807.3651257,0.021303594724155266,0.06
1739967808.4213715,0.021242814181351842,0.06
1739967809.452614,0.0211822070493944,0.06
1739967810.4745684,0.021121772833530495,0.06
1739967811.501653,0.021061511040419267,0.06
